code,prefecture,city,crimes_2023,crimes_2024,crimes_2025
80004,Ibaraki,-,,,
82015,Ibaraki,水戸市,2158,2446,2111
82023,Ibaraki,日立市,672,634,546
82031,Ibaraki,土浦市,1284,1253,1231
82040,Ibaraki,古河市,906,850,998
82058,Ibaraki,石岡市,541,652,530
82074,Ibaraki,結城市,340,457,401
82082,Ibaraki,龍ケ崎市,658,595,591
82104,Ibaraki,下妻市,301,306,327
82112,Ibaraki,常総市,478,596,468
82121,Ibaraki,常陸太田市,221,183,208
82147,Ibaraki,高萩市,154,135,149
82155,Ibaraki,北茨城市,217,181,170
82163,Ibaraki,笠間市,468,513,474
82171,Ibaraki,取手市,598,605,788
82198,Ibaraki,牛久市,557,584,537
82201,Ibaraki,つくば市,1686,2028,1769
82210,Ibaraki,ひたちなか市,774,777,724
82228,Ibaraki,鹿嶋市,500,599,564
82236,Ibaraki,潮来市,167,174,181
82244,Ibaraki,守谷市,427,439,460
82252,Ibaraki,常陸大宮市,209,202,167
82261,Ibaraki,那珂市,300,294,319
82279,Ibaraki,筑西市,860,741,792
82287,Ibaraki,坂東市,418,458,334
82295,Ibaraki,稲敷市,408,405,335
82309,Ibaraki,かすみがうら市,315,348,304
82317,Ibaraki,桜川市,343,357,286
82325,Ibaraki,神栖市,632,748,571
82333,Ibaraki,行方市,263,256,186
82341,Ibaraki,鉾田市,384,449,324
82350,Ibaraki,つくばみらい市,292,284,256
82368,Ibaraki,小美玉市,390,515,370
83003,Ibaraki,東茨城郡,476,515,440
83020,Ibaraki,東茨城郡茨城町,277,329,243
83097,Ibaraki,東茨城郡大洗町,114,105,109
83101,Ibaraki,東茨城郡城里町,85,81,88
83402,Ibaraki,那珂郡,169,255,215
83411,Ibaraki,那珂郡東海村,169,255,215
83607,Ibaraki,久慈郡,76,79,51
83640,Ibaraki,久慈郡大子町,76,79,51
84409,Ibaraki,稲敷郡,478,607,535
84425,Ibaraki,稲敷郡美浦村,90,141,100
84433,Ibaraki,稲敷郡阿見町,344,428,393
84476,Ibaraki,稲敷郡河内町,44,38,42
85201,Ibaraki,結城郡,120,124,113
85219,Ibaraki,結城郡八千代町,120,124,113
85405,Ibaraki,猿島郡,303,250,223
85421,Ibaraki,猿島郡五霞町,73,52,55
85464,Ibaraki,猿島郡境町,230,198,168
85600,Ibaraki,北相馬郡,82,80,99
85642,Ibaraki,北相馬郡利根町,82,80,99
110001,Saitama,-,49653,51663,
111007,Saitama,さいたま市,8745,9049,
111015,Saitama,さいたま市西区,486,534,468
111023,Saitama,さいたま市北区,805,1005,1003
111031,Saitama,さいたま市大宮区,1588,1793,1642
111040,Saitama,さいたま市見沼区,971,1113,1038
111058,Saitama,さいたま市中央区,556,617,610
111066,Saitama,さいたま市桜区,609,628,662
111074,Saitama,さいたま市浦和区,963,924,911
111082,Saitama,さいたま市南区,1061,1017,958
111091,Saitama,さいたま市緑区,859,862,779
111104,Saitama,さいたま市岩槻区,847,885,911
112011,Saitama,川越市,2388,2498,2722
112020,Saitama,熊谷市,1338,1369,1519
112038,Saitama,川口市,4437,4417,4529
112062,Saitama,行田市,497,584,582
112071,Saitama,秩父市,271,282,299
112089,Saitama,所沢市,1944,1981,1952
112097,Saitama,飯能市,464,511,514
112101,Saitama,加須市,642,707,717
112119,Saitama,本庄市,687,601,732
112127,Saitama,東松山市,777,830,827
112143,Saitama,春日部市,1753,1762,1591
112151,Saitama,狭山市,724,776,919
112160,Saitama,羽生市,490,597,508
112178,Saitama,鴻巣市,605,786,821
112186,Saitama,深谷市,876,875,885
112194,Saitama,上尾市,1385,1670,1642
112216,Saitama,草加市,2122,1906,1864
112224,Saitama,越谷市,2772,3256,3193
112232,Saitama,蕨市,695,614,686
112241,Saitama,戸田市,1051,1034,1143
112259,Saitama,入間市,1017,789,944
112275,Saitama,朝霞市,791,1012,969
112283,Saitama,志木市,389,392,434
112291,Saitama,和光市,480,529,445
112305,Saitama,新座市,915,1000,1053
112313,Saitama,桶川市,450,471,494
112321,Saitama,久喜市,946,1086,1052
112330,Saitama,北本市,332,401,472
112348,Saitama,八潮市,1025,788,883
112356,Saitama,富士見市,874,794,945
112372,Saitama,三郷市,1154,1214,1245
112381,Saitama,蓮田市,349,412,472
112399,Saitama,坂戸市,705,682,751
112402,Saitama,幸手市,368,441,318
112411,Saitama,鶴ヶ島市,361,470,470
112429,Saitama,日高市,301,336,373
112437,Saitama,吉川市,460,542,564
112453,Saitama,ふじみ野市,694,758,831
112461,Saitama,白岡市,241,233,283
113000,Saitama,北足立郡,271,,
113018,Saitama,北足立郡伊奈町,271,261,358
113204,Saitama,入間郡,504,,
113247,Saitama,入間郡三芳町,213,240,189
113263,Saitama,入間郡毛呂山町,219,221,274
113271,Saitama,入間郡越生町,72,64,59
113409,Saitama,比企郡,772,,
113417,Saitama,比企郡滑川町,153,145,167
113425,Saitama,比企郡嵐山町,133,120,135
113433,Saitama,比企郡小川町,135,155,187
113468,Saitama,比企郡川島町,115,174,199
113476,Saitama,比企郡吉見町,122,120,100
113484,Saitama,比企郡鳩山町,54,45,73
113492,Saitama,比企郡ときがわ町,60,33,57
113603,Saitama,秩父郡,142,,
113611,Saitama,秩父郡横瀬町,21,25,17
113620,Saitama,秩父郡皆野町,46,30,43
113638,Saitama,秩父郡長瀞町,29,27,39
113654,Saitama,秩父郡小鹿野町,34,23,24
113697,Saitama,秩父郡東秩父村,12,6,7
113808,Saitama,児玉郡,401,,
113816,Saitama,児玉郡美里町,45,53,50
113832,Saitama,児玉郡神川町,82,74,59
113859,Saitama,児玉郡上里町,274,246,264
114006,Saitama,大里郡,158,,
114081,Saitama,大里郡寄居町,158,105,141
114405,Saitama,南埼玉郡,194,,
114421,Saitama,南埼玉郡宮代町,194,265,283
114600,Saitama,北葛飾郡,444,,
114642,Saitama,北葛飾郡杉戸町,214,284,309
114651,Saitama,北葛飾郡松伏町,230,196,186
120006,Chiba,-,37538,38394,
121002,Chiba,千葉市,7010,6824,
121011,Chiba,千葉市中央区,2454,2191,2430
121029,Chiba,千葉市花見川区,923,1020,955
121037,Chiba,千葉市稲毛区,1067,1036,1138
121045,Chiba,千葉市若葉区,941,1050,1060
121053,Chiba,千葉市緑区,637,576,630
