code,prefecture,city,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,cagr_10y,cagr_5y
122343,千葉県,南房総市,,,,,,,,,,,,
124206,千葉県,長生郡,,,,,,,,,,,,
124222,千葉県,睦沢町,,,,,,,,,,,,
124265,千葉県,長柄町,,,,,,,,,,,,
124401,千葉県,夷隅郡,,,,,,,,,,,,
124605,千葉県,安房郡,,,,,,,,,,,,
124630,千葉県,鋸南町,,,,,,,,,,,,
133001,東京都,西多摩郡,,,,,,,,,,,,
82350,茨城県,つくばみらい市,30100,29800,29600,29300,33000,33000,32800,46900,49100,50800,0.05987645945492526,0.11387752997917588
131032,東京都,港区,1475400,1508900,1682700,1781100,1890400,2009300,2029000,2076700,2149700,2297300,0.0504310438390958,0.0340540313400457
131181,東京都,荒川区,382800,385800,404600,429600,466800,508900,505300,514900,540500,577200,0.04668778233909232,0.03198519737356342
131164,東京都,豊島区,484700,499200,519500,548000,587200,631800,629300,644800,675500,728400,0.04629756123545703,0.0362095221754839
131091,東京都,品川区,654300,661000,720400,758900,802900,849300,844700,860200,905900,971000,0.04483844825100625,0.03404520828523028
131024,東京都,中央区,1013900,1108700,1159100,1195700,1252000,1300500,1289200,1332200,1386400,1490800,0.04376491796149384,0.034730514839732995
131059,東京都,文京区,775400,788800,821600,867500,929800,999600,993400,1011300,1057100,1136700,0.043416703460616324,0.03265417003648885
111031,埼玉県,さいたま市大宮区,224800,235200,239100,244900,252900,262300,260600,266300,313800,327500,0.0426948342145923,0.05706879725559877
131067,東京都,台東区,718300,740000,768200,806300,863800,916300,912700,932800,980700,1043200,0.04233388621293921,0.0329575468065495
131172,東京都,北区,414900,406600,433700,458700,492800,531700,527500,535200,560900,597400,0.041337022975847626,0.029555207215470558
111074,埼玉県,さいたま市浦和区,273700,266200,302500,310100,338700,352200,352300,362800,378400,394000,0.04131028581179441,0.028434690470385826
131130,東京都,渋谷区,1046600,1054000,1092100,1142100,1232000,1311500,1306000,1334900,1386700,1483200,0.03949961261654966,0.031235500942883077
131041,東京都,新宿区,640000,661100,681300,709300,751100,803500,799600,816800,851700,906100,0.039387167709692195,0.030498970700258532
131016,東京都,千代田区,2113300,2358600,2537100,2618600,2688600,2771400,2762900,2704300,2791400,2968600,0.03848193895925767,0.01733296569701981
131083,東京都,江東区,392200,400900,413500,430700,454700,480900,478600,489400,510200,539400,0.03604388156202898,0.029115314918346957
122271,千葉県,浦安市,260700,261600,264200,269100,275500,285700,287300,296800,325700,358000,0.03586859414321153,0.0580183414934512
131105,東京都,目黒区,797900,811000,844100,876100,913300,951300,954600,973800,1013300,1090800,0.035353171675585715,0.034801162971000776
130001,東京都,東京都,350300,369700,385300,398700,415200,432300,432000,437700,452100,476100,0.034680940925441384,0.024420442913704266
131148,東京都,中野区,497100,497500,524300,544400,571700,597000,595600,605800,634700,675000,0.03457558033544128,0.03117496454893809
124214,千葉県,一宮町,13400,17800,17800,17800,17800,17800,17800,17800,17900,18000,0.03333432596900954,0.002797230117328464
122254,千葉県,君津市,31600,31800,33300,35300,37400,39200,40200,40900,41600,42400,0.03320507434341069,0.019811599497007837
82244,茨城県,守谷市,82100,82400,82700,83500,84400,85300,85600,97200,102600,110100,0.03314305928981165,0.06588308919874186
122033,千葉県,市川市,200600,204400,205100,207900,211400,216200,217600,223500,240300,268300,0.032837966075925484,0.0554587041068868
131075,東京都,墨田区,372000,368300,378100,393500,415500,439300,436700,443500,461900,490700,0.031249330927729524,0.028048760219796964
122068,千葉県,木更津市,29100,30100,31400,32400,33500,34500,35100,35800,36900,38300,0.03099414355811292,0.026466829763764466
131199,東京都,板橋区,359300,364500,376300,391800,411800,433100,429600,434100,448600,472200,0.03082612909162541,0.021843648338396804
122114,千葉県,成田市,45100,46600,50100,50700,51500,52200,52400,53100,56300,58900,0.030106395794160967,0.03064997709811146
121053,千葉県,千葉市緑区,57200,62000,62100,62400,65500,66500,67100,68200,70300,74700,0.030102658758536238,0.029496179155313218
131156,東京都,杉並区,460200,467600,483700,500000,521900,541900,538500,549700,571100,600200,0.02995108019376258,0.02587444155566887
131211,東京都,足立区,269600,264300,271600,283600,297800,314200,314100,321100,332400,348500,0.028932744413632472,0.02624050139236611
141038,神奈川県,横浜市西区,259300,258400,264800,272500,280500,291300,296900,305100,317800,334800,0.02880114031794978,0.035407344301325416
111007,埼玉県,さいたま市,178200,182800,189000,192500,200000,205700,206300,210500,222100,229500,0.02850955863383975,0.027749086756731378
112241,埼玉県,戸田市,215300,217300,220300,223800,229100,238900,242600,247100,261600,277200,0.02847645812699784,0.03787313145921045
141020,神奈川県,横浜市神奈川区,234800,243300,249700,256700,264700,273200,275200,280300,288800,300700,0.02786779613592416,0.024267005896687177
131237,東京都,江戸川区,308700,311900,319700,332000,348300,363200,361400,365500,377300,394900,0.027740306721304897,0.021140081833001867
131121,東京都,世田谷区,534900,544100,566000,589300,614800,636200,633800,640600,655800,682700,0.027479188128946674,0.017792062315318713
141518,神奈川県,相模原市緑区,115100,118000,117800,121300,126100,131400,132900,136200,140600,146400,0.027087174008238346,0.027392587148904468
122297,千葉県,袖ケ浦市,38300,38800,39200,39800,40600,41600,44200,45100,46700,48700,0.02705155160264283,0.040180978399027456
112291,埼玉県,和光市,221400,229800,232600,239200,247700,256600,255400,261500,270300,281000,0.026840972296632737,0.02296886784060992
111082,埼玉県,さいたま市南区,228400,233700,238600,244000,251400,259700,263500,269900,280200,288900,0.026452954575571175,0.026996345174824077
122165,千葉県,習志野市,144500,145900,147900,150600,153600,156700,168600,170900,174800,182300,0.026155559478594048,0.03855480178927406
132039,東京都,武蔵野市,492100,499500,516200,532600,550900,565300,565400,575400,593700,620300,0.02605831988161933,0.0234831543063303
122041,千葉県,船橋市,140700,141900,143200,145300,148500,151900,152800,155800,163700,175400,0.024795658434232815,0.03661610972946727
111058,埼玉県,さいたま市中央区,238400,237100,241300,246100,260600,269800,269600,276000,287200,297000,0.024720861077680123,0.024303427617659024
132250,東京都,稲城市,201200,204700,208800,213000,219800,228000,231900,237400,243200,250100,0.02446803625647953,0.0233983470500998
141330,神奈川県,川崎市中原区,348700,354800,362400,371100,383100,395100,397600,403700,415700,433200,0.024402718460275974,0.023282046683174462
122203,千葉県,流山市,120800,122500,122700,123000,123500,130000,130400,131500,134600,149800,0.024195266518782343,0.03607719660307285
141046,神奈川県,横浜市中区,304900,311400,319600,329500,342500,353600,355500,360700,367800,377700,0.024075964977174236,0.016620076734863654
112038,埼玉県,川口市,193300,191700,192800,195300,198900,209500,211900,214500,226400,238700,0.023717347612288275,0.03315884459549445
131113,東京都,大田区,472200,478000,488600,501700,510300,528200,526400,532500,546800,579100,0.02293375344423798,0.023266584153635694
112232,埼玉県,蕨市,236300,238300,240200,242500,244700,255200,257700,260700,273300,289500,0.022817891531639045,0.03202917435704
131202,東京都,練馬区,348100,351800,358600,369400,382000,394400,391000,395900,409100,425900,0.02266580632934123,0.01939543271735067
124109,千葉県,横芝光町,10800,11500,11400,11400,11400,11400,11300,11300,11300,13200,0.022547174131222203,0.03733079280330864
132047,東京都,三鷹市,364100,373500,383500,394100,405000,414000,413400,417700,428100,444700,0.02246771926680502,0.01804434789075615
82201,茨城県,つくば市,52600,52400,56800,56900,57100,57900,58500,60300,61900,64200,0.022389986116121863,0.026157718356077275
131229,東京都,葛飾区,286800,286900,293200,301300,311300,319700,321300,323300,333800,346500,0.02123313875428323,0.020328812599255786
120006,千葉県,千葉県,96400,97300,97600,98500,100000,101700,102400,103900,108100,114800,0.01959906430111058,0.03075448645516765
141348,神奈川県,川崎市高津区,273500,276300,281100,286900,293900,300400,301100,304900,312800,325500,0.01952832442511121,0.020264477588853858
121037,千葉県,千葉市稲毛区,136700,135100,136400,139200,142600,146400,147800,149700,155500,162500,0.01939561519915567,0.02642701083233101
132021,東京都,立川市,230500,233700,235800,240800,245800,250700,249700,252800,261400,272400,0.01873112405973809,0.020970496686528284
111091,埼玉県,さいたま市緑区,151400,156500,159200,161700,165000,167700,166900,169000,174500,178300,0.018337457395565027,0.015440708688209792
132080,東京都,調布市,316500,318800,322200,325900,331200,338000,338200,343500,356000,372200,0.01817520602872169,0.024389025495684225
141097,神奈川県,横浜市港北区,281700,281700,284600,289800,296600,303600,305300,310600,319000,331100,0.01811521092262347,0.021914010469617162
141178,神奈川県,横浜市青葉区,266400,271600,279500,283800,290000,294800,295400,298200,306500,312800,0.01800065681946106,0.01492702371271526
132144,東京都,国分寺市,265600,273000,276700,279900,285200,289100,287400,290800,299800,311800,0.017978653427369817,0.019077011450234993
141321,神奈川県,川崎市幸区,290500,291600,295900,301000,307800,315100,317900,321800,329500,340200,0.01770265628279355,0.019345656088600283
112453,埼玉県,ふじみ野市,167200,164100,172300,176000,180800,185000,182400,184000,189500,195800,0.017699594786324102,0.014285553280614316
112275,埼玉県,朝霞市,221400,222900,224900,229600,234600,238800,236800,240900,248800,258800,0.017493985161572967,0.020310808684835813
122173,千葉県,柏市,108000,107800,109700,109400,110000,110300,110400,111400,116700,126200,0.017454663241829094,0.034239119336151314
