code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
08201,茨城県,水戸市,273046,273047,273231,273243,272485,271912,271380,271156,270010,268843,267467,-0.002062
08202,茨城県,日立市,188938,186675,184574,182391,180304,177769,175366,172599,169785,167198,163855,-0.014143
08203,茨城県,土浦市,144927,144088,143570,143024,142862,142030,141371,141300,141418,141613,141571,-0.002340
08204,茨城県,古河市,145214,144715,144406,144480,143693,142992,142260,141371,140959,140499,139812,-0.003784
08205,茨城県,石岡市,78221,77479,76768,76062,75264,74540,73649,72680,71817,70981,69937,-0.011132
08207,茨城県,結城市,52830,52598,52598,52566,52081,51795,51266,50540,50349,49936,49528,-0.006433
08208,茨城県,龍ケ崎市,79125,78804,78289,77857,77560,77222,76590,76264,75813,75509,74917,-0.005450
08210,茨城県,下妻市,45001,44729,44467,44328,43791,43395,43095,42703,42419,42272,42071,-0.006710
08211,茨城県,常総市,65370,64462,64185,64036,63608,63046,62570,62057,61562,61180,60596,-0.007555
08212,茨城県,常陸太田市,55495,54660,53818,53020,52035,51112,50278,49236,48222,47338,46390,-0.017761
08214,茨城県,高萩市,30421,30000,29649,29232,28768,28312,27866,27414,26866,26315,25769,-0.016459
08215,茨城県,北茨城市,45942,45493,44858,44206,43704,43197,42651,41968,41448,40757,40014,-0.013720
08216,茨城県,笠間市,78557,77957,77446,76969,76350,75644,74984,74367,73787,73183,72567,-0.007900
08217,茨城県,取手市,109348,108957,108416,108049,107489,107097,107236,105967,106011,106008,105872,-0.003225
08219,茨城県,牛久市,84378,84703,85022,85255,85036,84852,84868,84497,84293,84085,83820,-0.000663
08220,茨城県,つくば市,220622,223755,227127,230360,233807,237653,241809,246541,252202,255244,259000,0.016167
08221,茨城県,ひたちなか市,159480,159372,159590,159574,159259,158660,158015,157140,156435,155762,154647,-0.003073
08222,茨城県,鹿嶋市,68142,68182,68127,68057,67892,67687,67416,67031,66274,65797,65217,-0.004378
08223,茨城県,潮来市,29441,29232,28981,28641,28370,27950,27613,27279,26890,26555,26088,-0.012018
08224,茨城県,守谷市,64894,65413,66251,66922,67634,68498,69392,69966,70414,70659,70900,0.008891
08225,茨城県,常陸大宮市,44708,44117,43467,42860,42192,41385,40590,40016,39370,38664,37861,-0.016486
08226,茨城県,那珂市,55779,55651,55431,55230,54925,54649,54440,54279,53839,53501,53167,-0.004784
08227,茨城県,筑西市,108789,107807,106874,106013,105063,104059,103243,102235,101606,100670,99804,-0.008583
08228,茨城県,坂東市,56429,56010,55661,55057,54430,53881,53550,52928,52639,52346,52143,-0.007868
08229,茨城県,稲敷市,44242,43593,42917,42123,41357,40538,39806,39111,38377,37692,37012,-0.017685
08230,茨城県,かすみがうら市,43575,43111,42701,42413,42193,41717,41200,40737,40628,40369,39893,-0.008789
08231,茨城県,桜川市,45039,44312,43643,42990,42126,41440,40606,39845,39041,38250,37635,-0.017799
