code,city_en,city_jp,single_2015,over65_2015,under64_2015,single_2020,over65_2020,under64_2020,growth_rate
12423,Chosei,長生村,1068,568,500,1671,711,960,0.92
12421,Ichinomiya,一宮町,1147,548,599,1591,657,934,0.559265
12101,Chuo,千葉市中央区,39426,9039,30387,57085,9738,47347,0.558133
11381,Misato,美里町,567,300,267,808,408,400,0.498127
11234,Yashio,八潮市,11716,2853,8863,16728,3531,13197,0.488999
8235,Tsukubamiai,つくばみらい市,4215,1274,2941,6019,1754,4265,0.450187
8546,Sakai,境町,1702,596,1106,2310,738,1572,0.421338
8210,Shimodsuma,下妻市,3478,1145,2333,4745,1445,3300,0.414488
12228,Yotsukaido,四街道市,8002,3246,4756,10717,4134,6583,0.384146
12229,Sodegaura,袖ケ浦市,5354,1769,3585,7221,2273,4948,0.380195
8203,Tuchiura,土浦市,18071,5665,12406,24159,7127,17032,0.372884
14104,Naka,横浜市中区,33800,9013,24787,42867,8931,33936,0.369105
11101,Nishi,さいたま市西区,8817,3284,5533,11469,3910,7559,0.366167
14131,Kawasaki,川崎市川崎区,51803,12451,39352,66457,13385,53072,0.348648
11210,Kazo,加須市,8845,3411,5434,11948,4624,7324,0.34781
11230,Niiza,新座市,20226,6553,13673,26654,8274,18380,0.344255
8228,Bando,坂東市,3524,1203,2321,4736,1616,3120,0.344248
8221,Hitachinaka,ひたちなか市,16406,4997,11409,21829,6546,15283,0.339556
13121,Adachi,足立区,128406,39952,88454,163352,45384,117968,0.333665
13120,Nerima,練馬区,139563,34912,104651,178473,39077,139396,0.332008
8447,Kawachi,河内町,485,298,187,613,364,249,0.331551
13215,Kunitachi,国立市,13906,3696,10210,17924,4373,13551,0.327228
12105,Midori,千葉市緑区,9953,3222,6731,13074,4156,8918,0.324915
12100,Chiba,千葉市,140014,43847,96167,175696,48326,127370,0.324467
14208,Zushi,逗子市,6508,3621,2887,7510,3693,3817,0.322134
11105,Chuo,さいたま市中央区,14972,3543,11429,19180,4188,14992,0.311751
12233,Tomisato,富里市,5944,1589,4355,7820,2156,5664,0.300574
11109,Midori,さいたま市緑区,11473,3778,7695,14248,4254,9994,0.298765
11216,Hanyu,羽生市,5184,1897,3287,6454,2186,4268,0.298448
11385,Kamisato,上里町,2485,925,1560,3178,1153,2025,0.298077
8207,Yuki,結城市,4220,1469,2751,5459,1899,3560,0.294075
8236,Komitama,小美玉市,3743,1424,2319,4889,1893,2996,0.291936
14363,Matsuda,松田町,1187,557,630,1463,650,813,0.290476
14213,Yamato,大和市,36140,10287,25853,44958,11681,33277,0.287162
13221,Kiyose,清瀬市,11627,4377,7250,14500,5172,9328,0.286621
11342,Arashiyama,嵐山町,1828,696,1132,2394,939,1455,0.285336
8227,Tikusei,筑西市,7682,3072,4610,9816,3892,5924,0.285033
14107,Isogo,横浜市磯子区,26556,9816,16740,32111,10612,21499,0.284289
