code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
82015,Ibaraki,水戸市,416448312,428349796,428656704,437385457,453457561,458406321,468250554,476642037,0.019473
82023,Ibaraki,日立市,267724888,267882453,272205334,268409525,273174743,275152369,278022204,279417846,0.006126
82031,Ibaraki,土浦市,207249608,211109551,214909041,217587160,222020995,227747298,234410037,235783853,0.018598
82040,Ibaraki,古河市,193254842,198029216,199048206,201100351,205404641,209099930,214475041,215756542,0.015859
82058,Ibaraki,石岡市,93479189,94162922,97503194,96546224,97671640,98929004,99764536,98837719,0.007995
82074,Ibaraki,結城市,67676257,69182107,70576230,68671696,70790937,72168967,72803165,73738693,0.012331
82082,Ibaraki,龍ケ崎市,110619591,113454282,111752121,112136708,114793355,116527404,118809456,120798641,0.012655
82104,Ibaraki,下妻市,55486581,56043439,55904560,56201238,57763059,59149313,59729977,60714289,0.012946
82112,Ibaraki,常総市,76628356,80074765,83077797,82569171,84827849,86764379,87256897,87419474,0.019
82121,Ibaraki,常陸太田市,64243569,64557396,64435832,63930877,64766576,64235212,64077921,62594843,-0.003707
82147,Ibaraki,高萩市,35248057,35277392,35289842,34931919,35776571,36128766,36307182,34940675,-0.00125
82155,Ibaraki,北茨城市,53481905,55621361,54519234,54681927,55857510,55906834,56744354,55302241,0.004793
82163,Ibaraki,笠間市,93436624,94939063,95243593,95294156,98960307,101166697,101925902,103119030,0.014185
82171,Ibaraki,取手市,152137840,154411674,155412689,156716353,160161219,161409914,165527001,167193579,0.013572
82198,Ibaraki,牛久市,133551399,134996323,137530479,138378681,147775603,143576233,146122944,147691261,0.014481
82201,Ibaraki,つくば市,415052722,428973366,446913661,459838831,482667241,516438440,533820454,553720128,0.042039
82210,Ibaraki,ひたちなか市,241405141,247285053,251971299,254366979,262413497,271597368,274014998,280808333,0.021834
82228,Ibaraki,鹿嶋市,93294829,95153623,97532800,97734564,98956303,99639596,103741926,103899636,0.015499
82236,Ibaraki,潮来市,36250602,35662091,36086157,36115550,36557361,36880650,37852586,37373807,0.004369
