code,prefecture,city_en,city_jp,pop_2025_m,pop_2025_f,pop_2025_total,under20_2015,under20_2016,under20_2017,under20_2018,under20_2019,under20_2020,under20_2021,under20_2022,under20_2023,under20_2024,under20_2025,under20_cagr_10y,age2039_2015,age2039_2016,age2039_2017,age2039_2018,age2039_2019,age2039_2020,age2039_2021,age2039_2022,age2039_2023,age2039_2024,age2039_2025,age2039_cagr_10y
82015,Ibaraki,Mito,水戸市,131087,136380,267467,49863,49742,49412,49046,48362,47815,47148,46548,45870,45092,44030,-0.01346172801328338,65587,64082,63019,62193,61024,60169,59586,58992,58007,57015,56464,-0.013963837996235684
82023,Ibaraki,Hitachi,日立市,81881,81974,163855,32349,31429,30542,29550,28513,27392,26395,25272,24077,23094,22032,-0.03870175131483722,39088,37693,36528,35525,34821,33696,32815,31934,31195,30420,29258,-0.02775438664695895
82031,Ibaraki,Tuchiura,土浦市,71080,70491,141571,25368,24917,24456,23955,23643,22981,22372,21897,21412,21030,20534,-0.021267070063366256,34200,33131,32427,31795,31342,30846,30503,30479,30762,31006,31561,-0.005379613199930633
82040,Ibaraki,Furukawa,古河市,70892,68920,139812,25342,24951,24715,24532,24086,23693,23195,22638,22272,21788,21146,-0.01821682387381851,34301,33549,32881,32577,31808,31280,30644,30041,29749,29607,29439,-0.014415830251071848
82058,Ibaraki,Ishioka,石岡市,34849,35088,69937,12902,12681,12356,12050,11753,11483,11131,10779,10387,10101,9745,-0.02883720155683034,16583,15933,15474,14998,14580,14256,13835,13467,13236,12941,12643,-0.02537134532344998
82074,Ibaraki,Yuki,結城市,25241,24287,49528,9205,9117,9067,9031,8847,8679,8429,8121,7979,7732,7495,-0.021531990092269915,12212,11876,11639,11496,11145,10902,10545,10115,10036,9929,9942,-0.01955639337372095
82082,Ibaraki,Ryugasaki,龍ケ崎市,37209,37708,74917,14251,14004,13589,13255,12907,12600,12148,11815,11388,11102,10640,-0.030063549280652135,18144,17560,16991,16546,16139,15868,15331,15117,14985,14881,14839,-0.018533299635407396
82104,Ibaraki,Shimodsuma,下妻市,21513,20558,42071,8271,8136,7952,7855,7621,7412,7201,6920,6747,6557,6409,-0.02616227957250017,10387,10104,9958,9789,9450,9178,9052,8903,8902,8980,8940,-0.013507477004557011
82112,Ibaraki,Joso,常総市,30759,29837,60596,11614,11362,11222,10999,10852,10555,10206,9863,9561,9317,8970,-0.025923483884390808,14797,14084,13798,13592,13348,13086,12944,12849,12785,12810,12763,-0.01088356752375319
82121,Ibaraki,Hitachi-Ota,常陸太田市,22870,23520,46390,7998,7733,7381,7112,6885,6615,6399,6115,5860,5652,5409,-0.03893644618174552,9974,9621,9381,9130,8693,8394,8062,7712,7417,7154,6864,-0.03682247519055004
82147,Ibaraki,Takahagi,高萩市,12827,12942,25769,4872,4772,4672,4486,4363,4167,4017,3820,3637,3482,3322,-0.039445230950840404,6227,5987,5783,5595,5336,5139,4948,4756,4513,4314,4169,-0.03941489401761511
82155,Ibaraki,Kitaibaraki,北茨城市,20099,19915,40014,7484,7281,7026,6794,6635,6467,6244,6020,5859,5614,5387,-0.03292140333894844,9026,8894,8660,8381,8176,7994,7836,7501,7279,7072,6797,-0.029435369704578607
82163,Ibaraki,Kasama,笠間市,35884,36683,72567,13264,13046,12802,12661,12372,12106,11789,11525,11210,10878,10566,-0.023154422421273302,16909,16268,15741,15273,14914,14437,14071,13743,13587,13407,13213,-0.022845964042793043
82171,Ibaraki,Toride,取手市,52089,53783,105872,16657,16435,16180,15958,15783,15483,15289,14944,14758,14521,14281,-0.015488054280053176,23123,22335,21652,21172,20403,19961,20085,19019,19064,19131,19260,-0.01632358559302305
82198,Ibaraki,Ushiku,牛久市,41304,42516,83820,15404,15429,15475,15496,15321,15061,14897,14532,14200,13760,13372,-0.015772718904779714,20087,19424,18772,18172,17511,16957,16459,15998,15693,15569,15402,-0.025449671562803977
82201,Ibaraki,Tsukuba,つくば市,131664,127336,259000,45353,46098,47019,47729,48381,49025,49669,50573,51497,52127,52576,0.014717267636771503,63762,63529,63328,63181,63430,64267,65081,66169,68361,68171,68807,0.008907099710377953
82210,Ibaraki,Hitachinaka,ひたちなか市,78040,76607,154647,31261,30922,30484,30045,29431,28720,27891,27189,26560,25949,25327,-0.021933320272346513,37025,36250,35878,35432,35055,34588,34146,33679,33330,33110,32560,-0.011857455245782522
82228,Ibaraki,Kashima,鹿嶋市,33413,31804,65217,12353,12269,12145,11949,11749,11532,11330,11040,10691,10428,10144,-0.020910866700275088,15390,15090,14763,14504,14172,13862,13622,13231,12884,12593,12261,-0.022803618146067683
82236,Ibaraki,Itako,潮来市,12995,13093,26088,4863,4805,4701,4585,4451,4340,4187,4072,3913,3781,3622,-0.03091544343154018,6147,5965,5835,5605,5491,5260,5107,4954,4850,4735,4577,-0.029000647080772657
82244,Ibaraki,Moriya,守谷市,35464,35436,70900,13639,13679,13718,13864,13919,13957,14072,14125,14048,13947,13718,0.000316386591886042,16657,16260,16118,15771,15540,15635,15543,15365,15188,15032,14921,-0.009503276554229001
82252,Ibaraki,Hitachi-Omiya,常陸大宮市,18895,18966,37861,6883,6712,6487,6263,6072,5846,5580,5388,5203,5003,4744,-0.03782349450090494,8621,8345,8071,7804,7506,7220,6939,6733,6501,6321,6090,-0.03439613679861908
82261,Ibaraki,Naka,那珂市,26133,27034,53167,9638,9559,9428,9346,9211,9015,8838,8695,8520,8341,8115,-0.018031988943590815,11654,11362,11146,10916,10638,10449,10243,10024,9782,9591,9423,-0.020576568933372563
82279,Ibaraki,Tikusei,筑西市,49903,49901,99804,18857,18477,18081,17695,17171,16720,16255,15692,15301,14885,14521,-0.026414950275329696,23564,22753,22086,21512,21018,20418,19955,19698,19712,19468,19172,-0.01884746976093299
82287,Ibaraki,Bando,坂東市,27161,24982,52143,9963,9871,9689,9386,9165,8897,8674,8351,8110,7840,7627,-0.02824958959808066,12852,12418,12101,11856,11494,11276,11102,10825,10854,10881,10996,-0.013421940753122974
82295,Ibaraki,Inashiki,稲敷市,18740,18272,37012,6563,6338,6097,5844,5603,5373,5123,4855,4630,4428,4147,-0.04603748215683556,8810,8476,8233,7920,7581,7284,7031,6749,6527,6343,6187,-0.03437187284980603
82309,Ibaraki,Kasumigaura,かすみがうら市,20412,19481,39893,7576,7409,7222,7090,6970,6704,6483,6188,6066,5804,5581,-0.03099047164758706,9787,9416,9094,8872,8720,8538,8262,8102,8111,8119,7977,-0.018258802910574135
82317,Ibaraki,Sakuragawa,桜川市,18854,18781,37635,7420,7202,6967,6763,6530,6290,5953,5697,5412,5182,4964,-0.04050642074727773,9401,9002,8640,8331,7913,7630,7297,6939,6629,6344,6159,-0.041293463568910505
82325,Ibaraki,Kamisu,神栖市,48370,45416,93786,18795,18637,18414,18153,17938,17667,17320,16748,16375,15919,15472,-0.02046729928304425,23869,23478,23137,23205,23084,23039,22966,22653,22300,22086,21909,-0.007655689352874084
82333,Ibaraki,Yukata,行方市,15964,15541,31505,5673,5516,5375,5187,5041,4889,4739,4510,4319,4176,4014,-0.03470188806154406,7845,7574,7302,7139,6901,6586,6273,5935,5844,5710,5547,-0.034015143056153385
82341,Ibaraki,Hokota,鉾田市,24246,22291,46537,7953,7847,7628,7478,7215,6993,6722,6507,6392,6213,6027,-0.028894546093724993,11275,11007,10824,10765,10546,10517,10288,9775,9906,10121,10115,-0.00934626773502445
82350,Ibaraki,Tsukubamiai,つくばみらい市,26911,26592,53503,8997,9440,9677,9862,9896,9973,10070,10099,10284,10355,10340,0.01016957205081992,12587,12721,12555,12464,12088,11726,11407,11287,11213,11234,10958,-0.016439416466206946
82368,Ibaraki,Komitama,小美玉市,24546,23936,48482,9510,9307,9119,8938,8714,8467,8187,7914,7762,7499,7258,-0.027250971923263645,12554,12189,11945,11616,11308,11073,10751,10356,10335,10272,10269,-0.018864708886778936
83020,Ibaraki,Ibaraki-cho,東茨城郡茨城町,15317,15206,30523,5504,5443,5347,5267,5129,4969,4837,4656,4530,4339,4253,-0.027039458892202717,7086,6935,6705,6506,6390,6319,6094,5837,5653,5653,5553,-0.024391243164147425
83097,Ibaraki,Oarai-cho,東茨城郡大洗町,7658,7803,15461,2770,2715,2679,2594,2486,2427,2375,2264,2179,2074,1971,-0.034957788521477906,3711,3511,3414,3331,3232,3149,3039,2877,2878,2892,2900,-0.02101930048247158
83101,Ibaraki,Shirosato,東茨城郡城里町,8833,8875,17708,3180,3022,2879,2744,2635,2522,2415,2300,2235,2130,2067,-0.04132416671772621,3980,3819,3669,3517,3357,3227,3048,2952,2890,2797,2644,-0.0400317579356686
83411,Ibaraki,Tokai,那珂郡東海村,19373,18778,38151,8104,8016,7978,7974,7838,7698,7530,7379,7249,7114,6946,-0.015793245638402564,8789,8565,8300,8127,7997,7915,7910,7938,8046,8051,8000,-0.007553835302855028
83640,Ibaraki,Daigo,久慈郡大子町,7224,7292,14516,2331,2239,2122,2078,1953,1842,1750,1639,1574,1463,1365,-0.053501696755886785,2899,2771,2634,2491,2360,2200,2084,1992,1924,1821,1712,-0.05209890258952232
84425,Ibaraki,Miho,稲敷郡美浦村,7306,6850,14156,2748,2642,2525,2442,2346,2216,2153,2068,1955,1879,1772,-0.04341039757898457,3772,3593,3347,3222,3113,3040,2911,2788,2773,2709,2631,-0.034032253465945295
84433,Ibaraki,Ami,稲敷郡阿見町,24758,24885,49643,8531,8491,8454,8420,8364,8336,8336,8285,8321,8362,8349,-0.0018721351209111114,11094,10754,10527,10263,10131,10091,10159,10272,10696,10793,10797,0.0004434915774917947
84476,Ibaraki,Kawachi,稲敷郡河内町,3856,3935,7791,1320,1240,1171,1127,1069,996,937,873,847,813,760,-0.052941342387547,1776,1694,1592,1541,1518,1444,1407,1334,1268,1219,1209,-0.036784073329461986
85219,Ibaraki,Yachiyo,結城郡八千代町,11145,9937,21082,4125,3993,3867,3809,3715,3612,3453,3339,3244,3138,2975,-0.03217100508172088,5537,5412,5336,5312,5059,4977,4799,4524,4637,4688,4877,-0.011498759567633576
85421,Ibaraki,Goka,猿島郡五霞町,4095,3838,7933,1353,1317,1295,1244,1199,1144,1089,1033,988,962,926,-0.038381518969448414,2004,1853,1750,1676,1607,1544,1478,1455,1406,1398,1374,-0.03268499699190264
