code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
08201,Ibaraki,Mito,水戸市,-0.002062,-0.013462,-0.013964,0.019473,7.9,5,7,5,6,2,25,19.0,44.0
08202,Ibaraki,Hitachi,日立市,-0.014143,-0.038702,-0.027754,0.006126,3.3,2,1,2,2,10,17,15.5,32.5
08203,Ibaraki,Tuchiura,土浦市,-0.002340,-0.021267,-0.005380,0.018598,8.7,5,4,7,5,1,22,29.5,51.5
08204,Ibaraki,Furukawa,古河市,-0.003784,-0.018217,-0.014416,0.015859,7.1,5,5,5,5,3,23,22.5,45.5
08205,Ibaraki,Ishioka,石岡市,-0.011132,-0.028837,-0.025371,0.007995,7.6,3,3,3,2,2,13,15.5,28.5
08207,Ibaraki,Yuki,結城市,-0.006433,-0.021532,-0.019556,0.012331,8.1,4,4,4,4,2,18,24.0,42.0
08208,Ibaraki,Ryugasaki,龍ケ崎市,-0.005450,-0.030064,-0.018533,0.012655,7.9,4,3,4,4,2,17,17.0,34.0
08210,Ibaraki,Shimodsuma,下妻市,-0.006710,-0.026162,-0.013507,0.012946,7.8,4,3,5,4,2,18,24.0,42.0
08211,Ibaraki,Joso,常総市,-0.007555,-0.025923,-0.010884,0.019000,7.7,3,3,6,5,2,19,30.5,49.5
08212,Ibaraki,Hitachi-Ota,常陸太田市,-0.017761,-0.038936,-0.036822,-0.003707,4.5,1,1,1,1,9,13,15.5,28.5
08214,Ibaraki,Takahagi,高萩市,-0.016459,-0.039445,-0.039415,-0.001250,5.8,2,1,1,1,6,11,15.5,26.5
08215,Ibaraki,Kitaibaraki,北茨城市,-0.013720,-0.032921,-0.029435,0.004793,4.2,2,2,2,2,9,17,8.5,25.5
08216,Ibaraki,Kasama,笠間市,-0.007900,-0.023154,-0.022846,0.014185,6.5,3,4,3,4,4,18,19.0,37.0
08217,Ibaraki,Toride,取手市,-0.003225,-0.015488,-0.016324,0.013572,7.4,5,6,4,4,2,21,35.5,56.5
08219,Ibaraki,Ushiku,牛久市,-0.000663,-0.015773,-0.025450,0.014481,6.4,6,6,3,4,5,24,26.0,50.0
08220,Ibaraki,Tsukuba,つくば市,0.016167,0.014717,0.008907,0.042039,6.8,10,10,10,10,4,44,22.5,66.5
08221,Ibaraki,Hitachinaka,ひたちなか市,-0.003073,-0.021933,-0.011857,0.021834,4.7,5,4,5,6,8,28,25.0,53.0
08222,Ibaraki,Kashima,鹿嶋市,-0.004378,-0.020911,-0.022804,0.015499,8.6,4,4,3,5,1,17,10.0,27.0
08223,Ibaraki,Itako,潮来市,-0.012018,-0.030915,-0.029001,0.004369,6.9,3,3,2,2,3,13,19.0,32.0
08224,Ibaraki,Moriya,守谷市,0.008891,0.000316,-0.009503,0.032781,6.5,10,9,6,9,4,38,34.0,72.0
08225,Ibaraki,Hitachi-Omiya,常陸大宮市,-0.016486,-0.037823,-0.034396,0.003222,4.4,2,2,2,2,9,17,12.0,29.0
08226,Ibaraki,Naka,那珂市,-0.004784,-0.018032,-0.020577,0.016240,6.0,4,5,4,5,6,24,15.0,39.0
08227,Ibaraki,Tikusei,筑西市,-0.008583,-0.026415,-0.018847,0.014007,7.9,3,3,4,4,2,16,24.0,40.0
08228,Ibaraki,Bando,坂東市,-0.007868,-0.028250,-0.013422,0.009330,6.4,3,3,5,3,5,19,,28.5
08229,Ibaraki,Inashiki,稲敷市,-0.017685,-0.046037,-0.034372,0.001106,9.1,1,1,2,1,1,6,,9.0
