code,macro_score,station_score,total_score
08201,25,19.0,44.0
08202,17,15.5,32.5
08203,22,29.5,51.5
08204,23,22.5,45.5
08205,13,15.5,28.5
08207,18,24.0,42.0
08208,17,17.0,34.0
08210,18,24.0,42.0
08211,19,30.5,49.5
08212,13,15.5,28.5
08214,11,15.5,26.5
08215,17,8.5,25.5
08216,18,19.0,37.0
08217,21,35.5,56.5
08219,24,26.0,50.0
08220,44,22.5,66.5
08221,28,25.0,53.0
08222,17,10.0,27.0
08223,13,19.0,32.0
08224,38,34.0,72.0
08225,17,12.0,29.0
08226,24,15.0,39.0
08227,16,24.0,40.0
08228,19,,28.5
08229,6,,9.0
08230,16,,24.0
08231,6,19.0,25.0
08232,29,,43.5
08233,14,,21.0
08234,20,,30.0
08235,42,26.0,68.0
08236,15,,22.5
08300,6,,9.0
08302,13,,19.5
08309,15,,22.5
08310,13,,19.5
08340,13,,19.5
08341,32,13.5,45.5
08360,11,,16.5
08364,14,8.5,22.5
08440,7,,10.5
08442,10,,15.0
08443,36,,54.0
08447,11,,16.5
08520,10,,15.0
08521,18,,27.0
08540,8,,12.0
08542,11,,16.5
08546,28,,42.0
08560,8,,12.0
08564,15,,22.5
11100,41,40.5,81.5
11101,47,34.0,81.0
11102,37,43.0,80.0
11103,40,46.5,86.5
11104,38,35.5,73.5
11105,41,45.0,86.0
11106,32,34.5,66.5
11107,46,38.5,84.5
11108,45,42.0,87.0
11109,45,37.5,82.5
11110,33,31.0,64.0
11201,28,34.0,62.0
11202,18,24.0,42.0
11203,34,42.5,76.5
11206,15,30.5,45.5
11207,16,23.5,39.5
11208,30,39.0,69.0
11209,24,26.0,50.0
11210,26,26.0,52.0
11211,21,19.0,40.0
11212,28,26.0,54.0
11214,21,35.5,56.5
11215,23,34.0,57.0
11216,20,27.0,47.0
11217,24,27.5,51.5
11218,24,24.0,48.0
11219,32,34.0,66.0
11221,33,40.5,73.5
11222,29,39.0,68.0
11223,36,45.5,81.5
11224,35,42.0,77.0
11225,19,35.5,54.5
11227,42,42.0,84.0
11228,35,39.0,74.0
11229,43,41.0,84.0
11230,33,37.5,70.5
11231,27,31.0,58.0
11232,23,34.0,57.0
11233,20,31.0,51.0
11234,40,38.0,78.0
11235,35,37.0,72.0
11237,32,35.5,67.5
11238,23,29.5,52.5
11239,23,34.0,57.0
11240,16,29.5,45.5
11241,25,35.5,60.5
11242,17,27.0,44.0
11243,29,37.5,66.5
11245,30,34.0,64.0
11246,33,31.0,64.0
11300,13,,19.5
11301,26,,39.0
11320,9,,13.5
11324,27,,40.5
11326,11,30.5,41.5
11327,15,27.5,42.5
11340,8,,12.0
11341,38,,57.0
11342,19,,28.5
11343,9,24.0,33.0
11346,8,,12.0
11347,11,,16.5
11348,14,,21.0
11349,13,26.0,39.0
11360,10,,15.0
11361,18,,27.0
11362,16,,24.0
11363,11,,16.5
11365,14,,21.0
11369,14,,21.0
11380,6,,9.0
11381,23,24.0,47.0
11383,19,19.0,38.0
11385,17,,25.5
11400,11,,16.5
11408,21,25.0,46.0
11440,12,,18.0
11442,26,34.0,60.0
11460,8,,12.0
11464,18,,27.0
11465,16,,24.0
12100,32,38.5,70.5
12101,36,43.0,79.0
12102,34,38.5,72.5
12103,29,40.0,69.0
12104,27,34.0,61.0
12105,35,27.0,62.0
12106,33,38.5,71.5
12202,10,21.5,31.5
12203,40,47.0,87.0
12204,36,45.0,81.0
12205,17,22.5,39.5
12206,39,31.0,70.0
12207,35,43.5,78.5
12208,28,30.5,58.5
12210,20,22.5,42.5
12211,29,27.5,56.5
12212,23,32.0,55.0
12213,14,19.0,33.0
12215,16,19.0,35.0
12216,34,43.5,77.5
12217,40,37.5,77.5
12218,6,24.0,30.0
12219,22,31.0,53.0
12220,49,42.0,91.0
12221,40,35.5,75.5
12222,30,32.0,62.0
12223,19,22.5,41.5
12224,31,40.0,71.0
12225,19,29.5,48.5
12226,16,29.5,45.5
12227,38,50.0,88.0
12228,39,34.0,73.0
12229,46,20.5,66.5
12230,17,26.0,43.0
12231,42,24.0,66.0
12232,26,27.5,53.5
12233,28,,42.0
12234,14,22.5,36.5
12235,12,22.5,34.5
12236,13,22.5,35.5
12237,9,22.5,31.5
12238,11,27.0,38.0
12239,23,22.5,45.5
12320,7,,10.5
12322,15,,22.5
12329,17,,25.5
12340,6,,9.0
